feature id,feature label,shid,geoid,Pediatrician Ratio (2025),Primary Care Physician Ratio (2025),Primary Care Nurse Practitioner Ratio (2025),Child Care Centers (2023)
publicpolygonfeature:5:41095,ZIP Code 32202,country:us/state:fl/zip:32202,32202,,354.29,463.31,3
publicpolygonfeature:5:41100,ZIP Code 32204,country:us/state:fl/zip:32204,32204,26.79,84.73,65.36,5
publicpolygonfeature:5:41113,ZIP Code 32205,country:us/state:fl/zip:32205,32205,2758.5,1324.91,1267.3,11
publicpolygonfeature:5:41181,ZIP Code 32206,country:us/state:fl/zip:32206,32206,395.09,814.52,1140.33,17
publicpolygonfeature:5:41191,ZIP Code 32207,country:us/state:fl/zip:32207,32207,76.96,93.67,145.09,13
publicpolygonfeature:5:41305,ZIP Code 32208,country:us/state:fl/zip:32208,32208,2922.33,990.88,1816.61,18
publicpolygonfeature:5:41320,ZIP Code 32209,country:us/state:fl/zip:32209,32209,150.68,219.35,380.85,19
publicpolygonfeature:5:42990,ZIP Code 32210,country:us/state:fl/zip:32210,32210,3206.6,1776.46,1195.07,26
publicpolygonfeature:5:42992,ZIP Code 32211,country:us/state:fl/zip:32211,32211,2418.5,1185.87,875.29,11
publicpolygonfeature:5:42993,ZIP Code 32212,country:us/state:fl/zip:32212,32212,71.25,149.15,969.5,0
publicpolygonfeature:5:42997,ZIP Code 32216,country:us/state:fl/zip:32216,32216,603.81,241.7,214.71,14
publicpolygonfeature:5:43001,ZIP Code 32217,country:us/state:fl/zip:32217,32217,185.13,919.14,481.45,0
publicpolygonfeature:5:43007,ZIP Code 32223,country:us/state:fl/zip:32223,32223,873.83,968.89,817.5,5
publicpolygonfeature:5:43011,ZIP Code 32254,country:us/state:fl/zip:32254,32254,,3481.75,1740.88,9
publicpolygonfeature:5:43013,ZIP Code 32256,country:us/state:fl/zip:32256,32256,640,570.51,361.44,9
publicpolygonfeature:5:43015,ZIP Code 32257,country:us/state:fl/zip:32257,32257,1754.8,794.52,529.68,7
publicpolygonfeature:5:43016,ZIP Code 32258,country:us/state:fl/zip:32258,32258,471.5,824.65,577.26,5
publicpolygonfeature:5:43019,ZIP Code 32266,country:us/state:fl/zip:32266,32266,,651.64,7168,0
publicpolygonfeature:5:43041,ZIP Code 32277,country:us/state:fl/zip:32277,32277,2315,2137.53,1453.52,6
publicpolygonfeature:5:43262,ZIP Code 32218,country:us/state:fl/zip:32218,32218,2678.57,1301.88,972.07,18
publicpolygonfeature:5:43263,ZIP Code 32219,country:us/state:fl/zip:32219,32219,,14302,4767.33,0
publicpolygonfeature:5:43264,ZIP Code 32220,country:us/state:fl/zip:32220,32220,,12298,,0
publicpolygonfeature:5:43265,ZIP Code 32221,country:us/state:fl/zip:32221,32221,2717.67,8208.25,2188.87,8
publicpolygonfeature:5:43266,ZIP Code 32222,country:us/state:fl/zip:32222,32222,,4564.5,3043,0
publicpolygonfeature:5:43267,ZIP Code 32224,country:us/state:fl/zip:32224,32224,505.64,80.64,323.78,11
publicpolygonfeature:5:43268,ZIP Code 32225,country:us/state:fl/zip:32225,32225,2574,1331.07,1510.95,12
publicpolygonfeature:5:43269,ZIP Code 32226,country:us/state:fl/zip:32226,32226,2749,4251.2,4251.2,0
publicpolygonfeature:5:43270,ZIP Code 32227,country:us/state:fl/zip:32227,32227,,,,0
publicpolygonfeature:5:43271,ZIP Code 32228,country:us/state:fl/zip:32228,32228,,55.5,111,0
publicpolygonfeature:5:43272,ZIP Code 32233,country:us/state:fl/zip:32233,32233,5074,4926.6,2463.3,3
publicpolygonfeature:5:43273,ZIP Code 32234,country:us/state:fl/zip:32234,32234,,9678,3226,0
publicpolygonfeature:5:43274,ZIP Code 32244,country:us/state:fl/zip:32244,32244,3664.5,2355.26,1718.7,12
publicpolygonfeature:5:43275,ZIP Code 32246,country:us/state:fl/zip:32246,32246,1010.64,2085.4,1060.37,10
publicpolygonfeature:5:43276,ZIP Code 32250,country:us/state:fl/zip:32250,32250,237.43,421.33,476.59,6
publicpolygonfeature:5:6684281,ZIP Code 32214,country:us/state:fl/zip:32214,32214,,,,0
publicpolygonfeature:5:6703033,ZIP Code 32203,country:us/state:fl/zip:32203,32203,,,,0
publicpolygonfeature:3:742,"Duval County, FL",country:us/state:fl/county:duval,12031,599.62,485.37,613.4,269
